t,x,vx
0.000000e0,8.399111e-1,0.000000e0
3.335153e-2,7.429498e-1,-6.099972e-1
6.670306e-2,7.992446e-1,9.453944e-1
1.000546e-1,8.059761e-1,1.294221e0
1.334061e-1,8.855260e-1,8.627351e-1
1.667576e-1,8.634917e-1,-2.657058e0
2.001092e-1,7.083887e-1,-1.442884e1
2.334607e-1,-9.843062e-2,-3.045735e1
2.668122e-1,-1.322101e0,-3.008232e1
3.001638e-1,-2.103919e0,-1.317611e1
3.335153e-1,-2.200508e0,-2.161413e0
3.668668e-1,-2.248013e0,-2.199826e1
4.002183e-1,-3.667059e0,-3.023920e1
4.335699e-1,-4.263959e0,3.187680e0
4.669214e-1,-3.454547e0,1.669077e1
5.002729e-1,-3.151241e0,-9.678936e-1
5.336245e-1,-3.519073e0,-4.971557e0
5.669760e-1,-3.482678e0,7.025336e0
6.003275e-1,-3.050717e0,-2.572417e0
6.336790e-1,-3.654173e0,-8.097753e0
6.670306e-1,-3.590568e0,1.747938e1
7.003821e-1,-2.488881e0,6.575030e1
7.337336e-1,7.927855e-1,9.608547e1
7.670852e-1,3.916817e0,1.029167e2
8.004367e-1,7.653901e0,9.778346e1
8.337882e-1,1.043571e1,6.710668e1
8.671397e-1,1.212768e1,3.622530e1
9.004913e-1,1.285073e1,1.265840e1
9.338428e-1,1.297157e1,7.302727e0
9.671943e-1,1.333758e1,8.911242e0
1.000546e0,1.356566e1,3.001797e0
1.033897e0,1.353770e1,2.134011e0
1.067249e0,1.370792e1,2.955358e0
1.100600e0,1.373473e1,-3.752055e-1
1.133952e0,1.368291e1,-6.431483e-1
1.167303e0,1.369185e1,-8.619972e-2
1.200655e0,1.367716e1,-1.100807e1
1.234007e0,1.295798e1,-2.279564e1
1.267358e0,1.215745e1,-2.572744e1
1.300710e0,1.124282e1,-2.296304e1
1.334061e0,1.062659e1,-1.432037e1
1.367413e0,1.028812e1,-2.400066e1
1.400764e0,9.026541e0,-3.713829e1
1.434116e0,7.812239e0,-2.753153e1
1.467467e0,7.191106e0,-1.058032e0
1.500819e0,7.741704e0,1.487515e1
1.534170e0,8.182783e0,1.769826e1
1.567522e0,8.951085e0,2.124700e1
1.600873e0,9.634661e0,2.260289e1
1.634225e0,1.045794e1,-3.909594e0
1.667576e0,9.374022e0,-1.619022e1
1.700928e0,9.378596e0,6.266182e1
1.734279e0,1.355148e1,1.162741e2
1.767631e0,1.713020e1,9.505334e1
1.800983e0,1.988837e1,7.394688e1
1.834334e0,2.205999e1,6.811538e1
1.867686e0,2.442939e1,5.583099e1
1.901037e0,2.578206e1,3.462458e1
1.934389e0,2.673770e1,1.380192e1
1.967740e0,2.670219e1,1.209833e1
2.001092e0,2.754425e1,1.256196e1
2.034443e0,2.753965e1,-1.708495e-1
2.067795e0,2.753286e1,2.481202e0
2.101146e0,2.770506e1,1.731660e0
2.134498e0,2.764831e1,-1.072087e-1
2.167849e0,2.769792e1,7.498386e-1
2.201201e0,2.769830e1,-5.687986e0
2.234552e0,2.731872e1,-1.862167e1
2.267904e0,2.645685e1,-2.754963e1
2.301255e0,2.548208e1,-2.580735e1
2.334607e0,2.473636e1,-1.623763e1
2.367959e0,2.439957e1,3.226773e-1
2.401310e0,2.475787e1,-6.348991e0
2.434662e0,2.397630e1,-2.087278e1
2.468013e0,2.336635e1,8.657010e0
2.501365e0,2.455344e1,1.130638e1
2.534716e0,2.412011e1,-8.142389e0
2.568068e0,2.401061e1,-1.358710e0
2.601419e0,2.402953e1,4.585876e-1
2.634771e0,2.404118e1,1.125967e-1
2.668122e0,2.403704e1,1.230276e0
2.701474e0,2.412320e1,4.357512e1
2.734825e0,2.694205e1,9.618468e1
2.768177e0,3.053551e1,1.105360e2
2.801528e0,3.431111e1,1.083649e2
2.834880e0,3.775984e1,8.810711e1
2.868231e0,4.018492e1,6.456821e1
2.901583e0,4.206439e1,3.145417e1
2.934934e0,4.228186e1,2.207780e1
2.968286e0,4.353624e1,2.125918e1
3.001638e0,4.369914e1,1.036671e1
3.034989e0,4.422735e1,7.039352e0
3.068341e0,4.416843e1,1.482590e-2
3.101692e0,4.422834e1,4.192381e-1
3.135044e0,4.419638e1,-7.716172e-1
3.168395e0,4.417690e1,-7.688465e-1
3.201747e0,4.414512e1,-2.173619e0
3.235098e0,4.403199e1,-1.309468e1
3.268450e0,4.327215e1,-2.451108e1
3.301801e0,4.239792e1,-2.845413e1
3.335153e0,4.137520e1,-2.909500e1
3.368504e0,4.045825e1,-1.923003e1
3.401856e0,4.009320e1,-1.912548e1
3.435207e0,3.918322e1,-3.385199e1
3.468559e0,3.783640e1,-1.991270e1
3.501910e0,3.785571e1,3.461924e0
3.535262e0,3.806720e1,2.304165e1
3.568614e0,3.939182e1,2.033667e1
3.601965e0,3.942298e1,-1.760742e1
3.635317e0,3.821799e1,-1.775875e1
3.668668e0,3.823906e1,3.401997e0
3.702020e0,3.844479e1,1.305079e1
