t,x,vx
0.000000e0,2.692132e0,0.000000e0
3.335218e-2,2.699947e0,5.263565e-1
6.670436e-2,2.727223e0,3.751679e-1
1.000565e-1,2.724958e0,-1.411230e-1
1.334087e-1,2.717814e0,-1.983824e-1
1.667609e-1,2.711732e0,-6.579445e0
2.001131e-1,2.279185e0,-2.254833e1
2.334653e-1,1.208511e0,-2.418014e1
2.668174e-1,6.671754e-1,-1.309553e1
3.001696e-1,3.354751e-1,1.142210e0
3.335218e-1,7.433228e-1,2.158597e0
3.668740e-1,4.793816e-1,7.012536e-1
4.002262e-1,7.900730e-1,5.735666e0
4.335784e-1,8.713187e-1,1.508046e0
4.669305e-1,8.931228e-1,-5.815811e0
5.002827e-1,4.835980e-1,-4.030782e0
5.336349e-1,6.244040e-1,6.583490e0
5.669871e-1,9.224974e-1,1.080870e0
6.003393e-1,6.964620e-1,-1.828557e0
6.336914e-1,8.005936e-1,3.891174e-1
6.670436e-1,7.224031e-1,3.581781e1
7.003958e-1,3.188448e0,7.197942e1
7.337480e-1,5.521031e0,8.654997e1
7.671002e-1,8.958446e0,1.215838e2
8.004523e-1,1.362662e1,1.081785e2
8.338045e-1,1.617034e1,6.583411e1
8.671567e-1,1.801556e1,3.060241e1
9.005089e-1,1.821050e1,-1.398113e1
9.338611e-1,1.708348e1,-5.956863e0
9.672132e-1,1.781338e1,1.359484e1
1.000565e0,1.798981e1,2.654272e0
1.033918e0,1.799033e1,-1.247804e-1
1.067270e0,1.798149e1,-1.466153e-1
1.100622e0,1.798056e1,3.275463e-2
1.133974e0,1.798367e1,1.801671e-1
1.167326e0,1.799257e1,-5.641267e0
1.200679e0,1.760759e1,-1.706116e1
1.234031e0,1.685516e1,-2.781276e1
1.267383e0,1.575340e1,-3.482849e1
1.300735e0,1.453326e1,-1.488271e1
1.334087e0,1.476122e1,3.802060e0
1.367439e0,1.478673e1,-8.986758e0
1.400792e0,1.416211e1,-2.231107e1
1.434144e0,1.329932e1,-2.636128e1
1.467496e0,1.240469e1,-2.539526e1
1.500848e0,1.160631e1,-2.808904e1
1.534200e0,1.053208e1,-3.452011e1
1.567553e0,9.304966e0,-3.854967e1
1.600905e0,7.962107e0,-3.648052e1
1.634257e0,6.872931e0,-3.340522e1
1.667609e0,5.735092e0,3.795365e0
1.700961e0,7.125956e0,9.991782e1
1.734313e0,1.239628e1,1.307992e2
1.767666e0,1.584590e1,6.258927e1
1.801018e0,1.656890e1,2.385070e1
1.834370e0,1.743595e1,6.494294e1
1.867722e0,2.089843e1,9.531099e1
1.901074e0,2.379002e1,4.675195e1
1.934426e0,2.401522e1,-7.666199e0
1.967779e0,2.327894e1,-3.549331e1
2.001131e0,2.164900e1,-6.265327e0
2.034483e0,2.286125e1,1.703484e1
2.067835e0,2.278466e1,-2.083665e0
2.101187e0,2.272234e1,1.078708e0
2.134540e0,2.285657e1,1.487890e0
2.167892e0,2.282153e1,-2.223059e0
2.201244e0,2.270837e1,-1.297499e1
2.234596e0,2.195653e1,-2.145213e1
2.267948e0,2.127823e1,-2.083683e1
2.301300e0,2.056741e1,-1.954631e1
