t,x,vx
0.000000e0,-2.088062e-1,0.000000e0
3.333333e-2,-2.018593e-1,5.484907e-2
6.666667e-2,-2.051496e-1,-3.487672e-2
1.000000e-1,-2.041844e-1,3.997607e-1
1.333333e-1,-1.784988e-1,-4.769854e-2
1.666667e-1,-2.073643e-1,-4.947063e-2
2.000000e-1,-1.817969e-1,3.274750e-1
2.333333e-1,-1.855327e-1,-2.449425e0
2.666667e-1,-3.450918e-1,-2.430141e0
3.000000e-1,-3.475421e-1,6.574026e-1
3.333333e-1,-3.012650e-1,8.981916e-1
3.666667e-1,-2.876626e-1,4.386754e-1
4.000000e-1,-2.720200e-1,3.563495e-1
4.333333e-1,-2.639060e-1,-7.170494e-1
4.666667e-1,-3.198233e-1,-1.571848e0
5.000000e-1,-3.686958e-1,-1.341907e0
5.333333e-1,-4.092838e-1,-1.047985e0
5.666667e-1,-4.385615e-1,-6.314549e-1
6.000000e-1,-4.513808e-1,-3.622013e-1
6.333333e-1,-4.627083e-1,-2.754550e-1
6.666667e-1,-4.697444e-1,-1.096063e0
7.000000e-1,-5.357791e-1,6.204315e0
7.333333e-1,-5.612341e-2,5.082567e1
7.666667e-1,2.852599e0,9.898626e1
8.000000e-1,6.542961e0,1.136072e2
8.333333e-1,1.042641e1,9.820857e1
8.666667e-1,1.309020e1,7.472160e1
9.000000e-1,1.540785e1,5.781956e1
9.333333e-1,1.694484e1,3.719876e1
9.666667e-1,1.788777e1,2.415817e1
1.000000e0,1.855538e1,1.429398e1
1.033333e0,1.884070e1,6.151490e0
1.066667e0,1.896548e1,4.293710e0
1.100000e0,1.912695e1,2.888857e0
1.133333e0,1.915807e1,1.052532e0
1.166667e0,1.919712e1,5.406407e-1
1.200000e0,1.919411e1,-1.240864e-1
1.233333e0,1.918885e1,-2.641395e0
1.266667e0,1.901802e1,-8.656012e0
1.300000e0,1.861178e1,-7.126365e0
1.333333e0,1.854293e1,-9.787255e-1
1.366667e0,1.854653e1,1.702102e-1
1.400000e0,1.855428e1,1.761915e-1
1.433333e0,1.855828e1,-7.219622e-2
1.466667e0,1.854946e1,-2.930051e-1
1.500000e0,1.853874e1,-1.738135e-1
1.533333e0,1.853788e1,1.100393e-3
1.566667e0,1.853882e1,1.232514e-2
1.600000e0,1.853870e1,-3.718877e-2
1.633333e0,1.853634e1,-3.843411e-1
1.666667e0,1.851307e1,-6.664792e-1
1.700000e0,1.849191e1,-6.049816e-1
1.733333e0,1.847274e1,3.369534e1
1.766667e0,2.073826e1,7.991801e1
1.800000e0,2.380061e1,1.053019e2
1.833333e0,2.775839e1,1.082862e2
1.866667e0,3.101969e1,8.342634e1
1.900000e0,3.332014e1,6.378906e1
1.933333e0,3.527229e1,4.934732e1
1.966667e0,3.660996e1,3.103635e1
2.000000e0,3.734138e1,1.818978e1
2.033333e0,3.782262e1,9.953181e0
2.066667e0,3.800493e1,5.094077e0
2.100000e0,3.816222e1,4.039332e0
2.133333e0,3.827422e1,1.799376e0
2.166667e0,3.828218e1,1.369726e0
2.200000e0,3.836553e1,1.571222e0
2.233333e0,3.838693e1,-3.462836e-1
2.266667e0,3.834245e1,-7.658963e0
2.300000e0,3.787633e1,-1.044592e1
2.333333e0,3.764605e1,-3.801628e0
2.366667e0,3.762289e1,-6.736487e-1
2.400000e0,3.760114e1,-5.484522e-1
2.433333e0,3.758633e1,-5.392460e-1
2.466667e0,3.756519e1,-5.548730e-1
2.500000e0,3.754933e1,-2.074372e-1
2.533333e0,3.755136e1,7.425076e-2
2.566667e0,3.755428e1,-1.282419e-1
2.600000e0,3.754281e1,-3.317070e-1
2.633333e0,3.753217e1,-5.565816e-2
2.666667e0,3.753910e1,-4.433289e-2
2.700000e0,3.752921e1,-1.989436e0
2.733333e0,3.740648e1,1.441637e1
2.766667e0,3.849031e1,6.156334e1
2.800000e0,4.151070e1,9.960173e1
2.833333e0,4.513042e1,1.105465e2
2.866667e0,4.888046e1,9.200705e1
