t,x,vx
0.000000e0,4.288764e-1,0.000000e0
3.335098e-2,-7.569623e0,-1.215107e2
6.670197e-2,-7.671840e0,6.026240e-1
1.000530e-1,-7.529448e0,-1.093191e1
1.334039e-1,-8.400634e0,-2.514065e1
1.667549e-1,-9.205492e0,-1.592247e1
2.001059e-1,-9.462131e0,-1.817362e0
2.334569e-1,-9.326650e0,-1.505677e0
2.668079e-1,-9.562510e0,2.621223e1
3.001589e-1,-7.579168e0,5.275168e1
3.335098e-1,-6.045731e0,2.563211e1
3.668608e-1,-5.870360e0,3.969923e1
4.002118e-1,-3.399116e0,9.524894e1
4.335628e-1,4.795688e-1,1.189283e2
4.669138e-1,4.529439e0,8.382429e1
5.002648e-1,6.067855e0,2.575577e1
5.336158e-1,6.246490e0,-9.670306e0
5.669667e-1,5.423168e0,-2.146090e1
6.003177e-1,4.815763e0,-7.295640e0
6.336687e-1,4.936792e0,1.076839e1
6.670197e-1,5.533656e0,1.781381e1
7.003707e-1,6.124379e0,1.222177e1
7.337217e-1,6.348440e0,-8.215022e-1
7.670726e-1,6.069612e0,-1.360076e1
8.004236e-1,5.441723e0,-2.688267e1
8.337746e-1,4.277434e0,-4.557642e1
8.671256e-1,2.403295e0,-5.629757e1
9.004766e-1,5.242626e-1,-6.935151e1
9.338276e-1,-2.220139e0,-5.683378e1
9.671786e-1,-3.264656e0,-2.545960e1
1.000530e0,-3.917446e0,-1.631898e1
1.033881e0,-4.352588e0,-1.126151e1
1.067232e0,-4.668213e0,-1.716802e1
1.100582e0,-5.497123e0,-2.596016e1
1.133933e0,-6.398890e0,-2.589431e1
1.167284e0,-7.223410e0,-1.441834e1
1.200635e0,-7.360113e0,6.415832e-1
1.233986e0,-7.180638e0,-5.121083e0
1.267337e0,-7.701518e0,-3.264318e0
1.300688e0,-7.398259e0,5.349930e1
1.334039e0,-4.134898e0,5.734713e1
1.367390e0,-3.575117e0,2.504061e1
1.400741e0,-2.465524e0,7.144457e1
1.434092e0,1.187854e0,1.259048e2
1.467443e0,5.928128e0,1.142882e2
1.500794e0,8.807069e0,6.365135e1
1.534145e0,1.017155e1,2.421130e1
1.567496e0,1.042116e1,-2.194635e1
1.600847e0,8.671884e0,-4.670686e1
1.634198e0,7.229521e0,-1.459492e1
1.667549e0,7.698889e0,1.288477e1
1.700900e0,8.088505e0,1.464485e1
1.734251e0,8.675212e0,5.692308e0
1.767602e0,8.467993e0,-1.022459e1
1.800953e0,7.993573e0,-1.937268e1
1.834304e0,7.176481e0,-3.660497e1
1.867655e0,5.553241e0,-5.186521e1
1.901006e0,3.718800e0,-5.210256e1
1.934357e0,2.079737e0,-3.696652e1
1.967708e0,1.254365e0,-2.310385e1
2.001059e0,5.394810e-1,-2.460462e1
2.034410e0,-3.859428e-1,-2.516383e1
2.067761e0,-1.138108e0,-1.209951e1
2.101112e0,-1.192577e0,-6.554801e0
2.134463e0,-1.575094e0,-1.448935e1
2.167814e0,-2.158534e0,-1.468668e1
2.201165e0,-2.554206e0,-8.243419e0
