t,x,y
4.600000e0,-1.001264e0,-1.457177e0
4.633333e0,-1.391647e-3,-2.353593e0
4.666667e0,3.302243e0,-2.279130e0
4.700000e0,9.807705e0,-3.402393e0
4.733333e0,1.683181e1,-4.791373e0
4.766667e0,2.017710e1,-5.335963e0
4.800000e0,1.964553e1,-2.891338e0
4.833333e0,1.521621e1,-1.908208e0
4.866667e0,1.131970e1,-4.221895e0
4.900000e0,1.215478e1,-3.415642e0
4.933333e0,1.363313e1,-3.317884e0
4.966667e0,1.464050e1,-3.708297e0
5.000000e0,1.424337e1,-3.468052e0
5.033333e0,1.328129e1,-3.531863e0
5.066667e0,1.309836e1,-3.377077e0
5.100000e0,1.131429e1,-3.464231e0
5.133333e0,8.345782e0,-2.956449e0
5.166667e0,6.830847e0,-2.892384e0
5.200000e0,5.397137e0,-2.788630e0
5.233333e0,4.526671e0,-2.505084e0
5.266667e0,3.775313e0,-2.427889e0
5.300000e0,2.879413e0,-2.653635e0
5.333333e0,1.932620e0,-2.591793e0
5.366667e0,8.208270e-1,-2.629176e0
5.400000e0,-7.771638e-1,-2.726870e0
5.433333e0,-2.216015e0,-2.723917e0
5.466667e0,-3.915226e0,-2.642292e0
5.500000e0,-5.588230e0,-2.674244e0
5.533333e0,-7.206842e0,-2.582919e0
5.566667e0,-5.985506e0,-2.633782e0
5.600000e0,1.479098e0,-2.171863e0
5.633333e0,3.759099e0,-2.284391e0
5.666667e0,4.947886e0,-2.312396e0
5.700000e0,9.349648e0,-3.144975e0
5.733333e0,1.477982e1,-3.671972e0
5.766667e0,1.814452e1,-3.210826e0
5.800000e0,1.863354e1,-3.263644e0
5.833333e0,1.804766e1,-3.207358e0
5.866667e0,1.719707e1,-3.319372e0
5.900000e0,1.762966e1,-3.237870e0
5.933333e0,1.851616e1,-3.131794e0
5.966667e0,1.906444e1,-3.230848e0
6.000000e0,1.905966e1,-3.269881e0
6.033333e0,1.865564e1,-3.256639e0
6.066667e0,1.818291e1,-3.251055e0
6.100000e0,1.706532e1,-3.194114e0
6.133333e0,1.405512e1,-2.991372e0
6.166667e0,9.718627e0,-2.774493e0
6.200000e0,7.864325e0,-2.753231e0
6.233333e0,7.249673e0,-2.577990e0
6.266667e0,6.137861e0,-2.450158e0
6.300000e0,5.084164e0,-2.307257e0
6.333333e0,3.961509e0,-2.245839e0
6.366667e0,2.895711e0,-2.193782e0
6.400000e0,2.124107e0,-2.374632e0
6.433333e0,1.144143e0,-2.055418e0
6.466667e0,-4.489563e-1,-2.137011e0
6.500000e0,-1.658862e0,-2.190990e0
6.533333e0,-2.902760e0,-2.280140e0
6.566667e0,-3.461820e0,-2.331459e0
6.600000e0,2.825718e0,-1.787365e0
6.633333e0,5.784701e0,-1.795449e0
6.666667e0,7.789912e0,-2.376476e0
6.700000e0,1.143140e1,-2.420105e0
6.733333e0,1.791626e1,-2.824390e0
6.766667e0,2.364685e1,-3.286462e0
6.800000e0,2.526831e1,-3.837616e0
6.833333e0,2.438700e1,-4.594570e0
6.866667e0,2.130420e1,-4.343604e0
6.900000e0,1.933628e1,-3.732548e0
6.933333e0,2.068929e1,-3.931811e0
6.966667e0,2.218661e1,-4.109404e0
7.000000e0,2.234736e1,-4.242451e0
7.033333e0,2.217475e1,-4.172943e0
7.066667e0,2.125915e1,-4.080051e0
7.100000e0,2.029176e1,-3.961197e0
7.133333e0,1.845453e1,-3.786855e0
7.166667e0,1.440162e1,-3.241425e0
7.200000e0,1.181897e1,-2.662268e0
7.233333e0,1.119522e1,-2.804972e0
7.266667e0,1.049791e1,-2.667507e0
7.300000e0,1.028530e1,-2.654654e0
