t,x,vx
0.000000e0,3.001719e-1,0.000000e0
3.333333e-2,8.871718e-1,5.148161e0
6.666667e-2,6.433827e-1,-9.202371e0
1.000000e-1,2.736804e-1,-7.351301e0
1.333333e-1,1.532960e-1,-2.169469e0
1.666667e-1,1.290491e-1,-6.105707e-1
2.000000e-1,1.125912e-1,-4.224278e-1
2.333333e-1,1.008873e-1,-3.240510e-1
2.666667e-1,9.098785e-2,-1.924324e-1
3.000000e-1,8.805843e-2,-1.278147e-1
3.333333e-1,8.246687e-2,-1.291000e-1
3.666667e-1,7.945176e-2,-1.194667e-1
4.000000e-1,7.450242e-2,-1.474038e-1
4.333333e-1,6.962484e-2,-4.913078e-2
4.666667e-1,7.122704e-2,-1.457674e-2
5.000000e-1,6.865306e-2,4.550450e0
5.333333e-1,3.745904e-1,4.268179e1
5.666667e-1,2.914105e0,8.502445e1
6.000000e-1,6.042887e0,1.105446e2
6.333333e-1,1.028374e1,1.116498e2
6.666667e-1,1.348621e1,7.507537e1
7.000000e-1,1.528877e1,5.417675e1
7.333333e-1,1.709799e1,4.299825e1
7.666667e-1,1.815532e1,2.344694e1
8.000000e-1,1.866112e1,1.213142e1
8.333333e-1,1.896408e1,7.051319e0
8.666667e-1,1.913121e1,4.137459e0
9.000000e-1,1.923991e1,1.359150e0
9.333333e-1,1.922182e1,-4.241918e-1
9.666667e-1,1.921163e1,-7.400052e-2
1.000000e0,1.921689e1,3.568615e-1
1.033333e0,1.923542e1,-6.207440e-1
1.066667e0,1.917550e1,-7.135319e0
1.100000e0,1.875973e1,-9.019880e0
1.133333e0,1.857418e1,-2.436605e0
1.166667e0,1.859729e1,5.718880e-1
1.200000e0,1.861230e1,3.451964e-1
1.233333e0,1.862031e1,1.616802e-1
1.266667e0,1.862308e1,1.178473e-3
1.300000e0,1.862038e1,1.027792e-1
1.333333e0,1.862993e1,1.779839e-1
1.366667e0,1.863225e1,-2.748289e-1
1.400000e0,1.861161e1,-2.776981e-1
1.433333e0,1.861374e1,4.270014e-2
1.466667e0,1.861446e1,-2.479283e-1
1.500000e0,1.859721e1,-1.285598e-1
1.533333e0,1.860589e1,2.845010e1
1.566667e0,2.049388e1,6.902666e1
1.600000e0,2.320767e1,1.031698e2
1.633333e0,2.737187e1,1.196232e2
1.666667e0,3.118254e1,8.549553e1
1.700000e0,3.307157e1,5.566534e1
1.733333e0,3.489357e1,4.784560e1
1.766667e0,3.626128e1,3.127441e1
1.800000e0,3.697853e1,1.644082e1
1.833333e0,3.735733e1,9.779209e0
1.866667e0,3.763047e1,5.235599e0
1.900000e0,3.770637e1,1.911299e0
1.933333e0,3.775789e1,1.334096e0
1.966667e0,3.779531e1,7.403289e-1
2.000000e0,3.780725e1,3.755583e-1
2.033333e0,3.782035e1,-1.449460e-1
2.066667e0,3.779759e1,-5.404715e0
2.100000e0,3.746003e1,-8.836908e0
2.133333e0,3.720846e1,-3.724010e0
2.166667e0,3.721176e1,1.357544e-1
2.200000e0,3.721751e1,-4.595590e-2
2.233333e0,3.720870e1,3.458332e-1
2.266667e0,3.724057e1,-1.334326e-1
2.300000e0,3.719981e1,-4.647958e-1
2.333333e0,3.720958e1,2.019617e-1
2.366667e0,3.721327e1,4.274781e-2
2.400000e0,3.721243e1,-6.016329e-2
2.433333e0,3.720926e1,2.061466e-2
2.466667e0,3.721380e1,8.672341e-2
2.500000e0,3.721504e1,4.409104e-2
2.533333e0,3.721674e1,1.194730e1
2.566667e0,3.801153e1,5.055001e1
2.600000e0,4.058674e1,9.133992e1
2.633333e0,4.410085e1,1.136116e2
2.666667e0,4.816085e1,1.048533e2
2.700000e0,5.109107e1,7.201166e1
2.733333e0,5.296163e1,5.143048e1
2.766667e0,5.451977e1,3.761563e1
2.800000e0,5.546934e1,2.116593e1
2.833333e0,5.593083e1,1.049396e1
2.866667e0,5.616893e1,4.860130e0
2.900000e0,5.625484e1,2.788351e0
2.933333e0,5.635482e1,2.091433e0
2.966667e0,5.639427e1,7.658382e-1
3.000000e0,5.640588e1,7.809240e-1
3.033333e0,5.644633e1,1.180575e0
3.066667e0,5.648458e1,-2.142320e0
3.100000e0,5.630351e1,-7.513969e0
3.133333e0,5.598365e1,-5.358557e0
3.166667e0,5.594628e1,-4.194485e-2
3.200000e0,5.598086e1,8.741132e-1
3.233333e0,5.600455e1,5.334309e-1
3.266667e0,5.601642e1,2.973999e-1
3.300000e0,5.602438e1,2.034519e-1
3.333333e0,5.602998e1,1.603896e-1
3.366667e0,5.603507e1,1.022005e-1
3.400000e0,5.603680e1,6.857188e-2
3.433333e0,5.603964e1,3.805138e-2
3.466667e0,5.603933e1,5.147862e-2
3.500000e0,5.604307e1,6.872128e-2
3.533333e0,5.604391e1,1.357311e0
3.566667e0,5.613356e1,3.621353e1
3.600000e0,5.845815e1,7.579791e1
3.633333e0,6.118675e1,1.013361e2
3.666667e0,6.521389e1,1.160452e2
3.700000e0,6.892310e1,8.537516e1
3.733333e0,7.090557e1,5.436236e1
3.766667e0,7.254726e1,4.335763e1
3.800000e0,7.379607e1,2.892396e1
3.833333e0,7.447553e1,1.386786e1
3.866667e0,7.472060e1,7.126524e0
3.900000e0,7.495063e1,4.376395e0
3.933333e0,7.501236e1,1.416185e0
3.966667e0,7.504504e1,2.049942e0
4.000000e0,7.514902e1,2.055606e0
4.033333e0,7.518208e1,4.800880e-1
4.066667e0,7.518103e1,-6.669078e-1
4.100000e0,7.513762e1,-7.499951e0
4.133333e0,7.468103e1,-1.113782e1
4.166667e0,7.439510e1,-3.754346e0
4.200000e0,7.443074e1,-4.206548e-2
4.233333e0,7.439229e1,-5.247001e-1
4.266667e0,7.439576e1,6.088279e-2
4.300000e0,7.439635e1,-1.082566e-1
4.333333e0,7.438854e1,-1.846583e-1
4.366667e0,7.438404e1,-3.184156e-2
4.400000e0,7.438642e1,5.741723e-2
4.433333e0,7.438787e1,-1.005870e-1
4.466667e0,7.437971e1,-7.316144e-2
4.500000e0,7.438299e1,3.511490e-3
4.533333e0,7.437995e1,-5.397361e-2
4.566667e0,7.437939e1,2.209738e1
4.600000e0,7.585311e1,6.160712e1
4.633333e0,7.848654e1,9.534092e1
4.666667e0,8.220917e1,1.142210e2
4.700000e0,8.610127e1,1.000127e2
4.733333e0,8.887668e1,6.613305e1
4.766667e0,9.051014e1,4.676557e1
4.800000e0,9.199439e1,3.503570e1
4.833333e0,9.284585e1,1.792209e1
4.866667e0,9.318920e1,9.401376e0
4.900000e0,9.347261e1,6.330971e0
4.933333e0,9.361126e1,2.116203e0
4.966667e0,9.361369e1,2.632130e-1
5.000000e0,9.362881e1,1.336992e0
5.033333e0,9.370283e1,1.951708e0
5.066667e0,9.375892e1,6.745695e-1
5.100000e0,9.374780e1,-5.042157e0
5.133333e0,9.342278e1,-1.176686e1
5.166667e0,9.296334e1,-7.099876e0
5.200000e0,9.294945e1,-2.259862e-1
5.233333e0,9.294827e1,1.601657e-2
5.266667e0,9.295052e1,1.342227e-1
5.300000e0,9.295722e1,1.223391e-1
5.333333e0,9.295868e1,4.705499e-2
5.366667e0,9.296036e1,-4.634402e-4
5.400000e0,9.295865e1,-2.678562e-1
5.433333e0,9.294250e1,-9.514333e-1
5.466667e0,9.289522e1,-6.955593e-1
5.500000e0,9.289613e1,2.243918e-1
5.533333e0,9.291018e1,3.540456e-1
5.566667e0,9.291973e1,7.387411e0
5.600000e0,9.340267e1,4.816999e1
5.633333e0,9.613107e1,9.047749e1
5.666667e0,9.943450e1,1.100433e2
5.700000e0,1.034673e2,1.062131e2
5.733333e0,1.065154e2,7.222121e1
5.766667e0,1.082820e2,5.171522e1
5.800000e0,1.099631e2,4.143004e1
5.833333e0,1.110440e2,2.236701e1
5.866667e0,1.114542e2,1.070931e1
5.900000e0,1.117580e2,8.030574e0
5.933333e0,1.119896e2,4.473015e0
5.966667e0,1.120562e2,1.600065e0
6.000000e0,1.120962e2,1.029587e0
6.033333e0,1.121248e2,8.315879e-1
6.066667e0,1.121517e2,-1.069062e-1
6.100000e0,1.121177e2,-2.265428e0
6.133333e0,1.120006e2,-8.091462e0
6.166667e0,1.115783e2,-1.010229e1
6.200000e0,1.113272e2,-3.775353e0
6.233333e0,1.113266e2,-7.080825e-2
6.266667e0,1.113224e2,-1.353642e-1
6.300000e0,1.113176e2,-1.088565e-1
6.333333e0,1.113152e2,-4.234337e-2
6.366667e0,1.113147e2,-9.666169e-3
6.400000e0,1.113145e2,-7.467964e-2
6.433333e0,1.113098e2,-1.246479e-1
