t,x,y
4.600000e0,3.543845e1,-3.307578e0
4.633333e0,3.505527e1,-3.442343e0
4.666667e0,3.726841e1,-3.890618e0
4.700000e0,4.030722e1,-3.968793e0
4.733333e0,4.424507e1,-4.064939e0
4.766667e0,4.830927e1,-4.194820e0
4.800000e0,5.072290e1,-4.215941e0
4.833333e0,5.297320e1,-4.292081e0
4.866667e0,5.453735e1,-4.278538e0
4.900000e0,5.538643e1,-4.313108e0
4.933333e0,5.585354e1,-4.336586e0
4.966667e0,5.615537e1,-4.358668e0
5.000000e0,5.627909e1,-4.367236e0
5.033333e0,5.642153e1,-4.383114e0
5.066667e0,5.650991e1,-4.411850e0
5.100000e0,5.652396e1,-4.391812e0
5.133333e0,5.658567e1,-4.396641e0
5.166667e0,5.656393e1,-4.389349e0
5.200000e0,5.602789e1,-4.325500e0
5.233333e0,5.542017e1,-3.971741e0
5.266667e0,5.506572e1,-3.870604e0
5.300000e0,5.492715e1,-3.898968e0
5.333333e0,5.484942e1,-3.892831e0
5.366667e0,5.476149e1,-3.924170e0
5.400000e0,5.469400e1,-3.959543e0
5.433333e0,5.459195e1,-3.926763e0
5.466667e0,5.449048e1,-3.977891e0
5.500000e0,5.422961e1,-4.010037e0
5.533333e0,5.393468e1,-4.013697e0
5.566667e0,5.368439e1,-4.044673e0
5.600000e0,5.349000e1,-4.108188e0
5.633333e0,5.322535e1,-4.196861e0
5.666667e0,5.381275e1,-4.318697e0
5.700000e0,5.705403e1,-4.682844e0
5.733333e0,6.029265e1,-4.874672e0
5.766667e0,6.454528e1,-4.923952e0
5.800000e0,6.765996e1,-4.966187e0
5.833333e0,6.984683e1,-5.002210e0
5.866667e0,7.162360e1,-5.057957e0
5.900000e0,7.268673e1,-5.062699e0
5.933333e0,7.346490e1,-4.976975e0
5.966667e0,7.387313e1,-5.008413e0
6.000000e0,7.398039e1,-4.959107e0
6.033333e0,7.410593e1,-4.993047e0
6.066667e0,7.410402e1,-5.011847e0
6.100000e0,7.409706e1,-4.986008e0
6.133333e0,7.409319e1,-4.981224e0
6.166667e0,7.407872e1,-4.979287e0
6.200000e0,7.391780e1,-4.887301e0
6.233333e0,7.307659e1,-4.454629e0
6.266667e0,7.256824e1,-4.268096e0
6.300000e0,7.244320e1,-4.204106e0
6.333333e0,7.219669e1,-4.199123e0
6.366667e0,7.211342e1,-4.264273e0
6.400000e0,7.192909e1,-4.186617e0
6.433333e0,7.159770e1,-4.367556e0
6.466667e0,7.114262e1,-4.440438e0
6.500000e0,7.057321e1,-4.464456e0
6.533333e0,6.982418e1,-4.431644e0
6.566667e0,6.890058e1,-4.441571e0
6.600000e0,6.777633e1,-4.578480e0
6.633333e0,6.675191e1,-4.678188e0
6.666667e0,6.589507e1,-4.638198e0
6.700000e0,6.893461e1,-4.950029e0
6.733333e0,7.224536e1,-5.079936e0
6.766667e0,7.625942e1,-5.145317e0
6.800000e0,7.991178e1,-5.106753e0
6.833333e0,8.237560e1,-5.160481e0
6.866667e0,8.447601e1,-5.231550e0
6.900000e0,8.585844e1,-5.281772e0
6.933333e0,8.653053e1,-5.317759e0
6.966667e0,8.694714e1,-5.310036e0
7.000000e0,8.720351e1,-5.338045e0
7.033333e0,8.736193e1,-5.340620e0
7.066667e0,8.742500e1,-5.332282e0
7.100000e0,8.745458e1,-5.333275e0
7.133333e0,8.745134e1,-5.349869e0
7.166667e0,8.746066e1,-5.357839e0
7.200000e0,8.736813e1,-5.334938e0
7.233333e0,8.657708e1,-5.016266e0
7.266667e0,8.600451e1,-4.577279e0
7.300000e0,8.571803e1,-4.505456e0
7.333333e0,8.556320e1,-4.497094e0
7.366667e0,8.547642e1,-4.531456e0
7.400000e0,8.536252e1,-4.501024e0
7.433333e0,8.506978e1,-4.525940e0
7.466667e0,8.486419e1,-4.490284e0
7.500000e0,8.450411e1,-4.502050e0
7.533333e0,8.406932e1,-4.511564e0
7.566667e0,8.388641e1,-4.470797e0
7.600000e0,8.372517e1,-4.568116e0
7.633333e0,8.350132e1,-4.585675e0
7.666667e0,8.336923e1,-4.560196e0
7.700000e0,8.521661e1,-5.128040e0
7.733333e0,8.855815e1,-5.618250e0
7.766667e0,9.245486e1,-5.894312e0
7.800000e0,9.649793e1,-6.030282e0
7.833333e0,9.926376e1,-6.142548e0
7.866667e0,1.015929e2,-6.359776e0
7.900000e0,1.032389e2,-6.346495e0
7.933333e0,1.042036e2,-6.343240e0
7.966667e0,1.047658e2,-6.363958e0
8.000000e0,1.051115e2,-6.402948e0
8.033333e0,1.051931e2,-6.356644e0
8.066667e0,1.053127e2,-6.377436e0
8.100000e0,1.053352e2,-6.380897e0
8.133333e0,1.053410e2,-6.393845e0
8.166667e0,1.053504e2,-6.409011e0
8.200000e0,1.053214e2,-6.406683e0
8.233333e0,1.047745e2,-6.277696e0
8.266667e0,1.039105e2,-5.764017e0
8.300000e0,1.034279e2,-5.356320e0
8.333333e0,1.033336e2,-5.403234e0
8.366667e0,1.033053e2,-5.381926e0
8.400000e0,1.032522e2,-5.332708e0
8.433333e0,1.029695e2,-5.384560e0
8.466667e0,1.028499e2,-5.394467e0
8.500000e0,1.026046e2,-5.321145e0
8.533333e0,1.024396e2,-5.361484e0
8.566667e0,1.022929e2,-5.336333e0
8.600000e0,1.021450e2,-5.397425e0
8.633333e0,1.018715e2,-5.395658e0
8.666667e0,1.017239e2,-5.337705e0
8.700000e0,1.019018e2,-5.438548e0
8.733333e0,1.053010e2,-6.293950e0
8.766667e0,1.091283e2,-6.537799e0
8.800000e0,1.132025e2,-6.803333e0
8.833333e0,1.162639e2,-7.038541e0
8.866667e0,1.187228e2,-7.137031e0
8.900000e0,1.206520e2,-7.263983e0
8.933333e0,1.217441e2,-7.361232e0
8.966667e0,1.225512e2,-7.356089e0
9.000000e0,1.229056e2,-7.417283e0
9.033333e0,1.230942e2,-7.459855e0
9.066667e0,1.231873e2,-7.468626e0
9.100000e0,1.231996e2,-7.478897e0
9.133333e0,1.232108e2,-7.461688e0
9.166667e0,1.232047e2,-7.464648e0
9.200000e0,1.231954e2,-7.458465e0
9.233333e0,1.230818e2,-7.389960e0
9.266667e0,1.222262e2,-6.897566e0
9.300000e0,1.212783e2,-6.086892e0
9.333333e0,1.206569e2,-5.973120e0
9.366667e0,1.201538e2,-5.985113e0
9.400000e0,1.196706e2,-5.991630e0
9.433333e0,1.192400e2,-6.064120e0
9.466667e0,1.187525e2,-6.046160e0
9.500000e0,1.182466e2,-6.028543e0
9.533333e0,1.176864e2,-5.963003e0
9.566667e0,1.169929e2,-5.920905e0
9.600000e0,1.162250e2,-5.867305e0
9.633333e0,1.156038e2,-5.860222e0
9.666667e0,1.147541e2,-5.875364e0
9.700000e0,1.138618e2,-5.890844e0
9.733333e0,1.166134e2,-6.584801e0
9.766667e0,1.197129e2,-7.028152e0
9.800000e0,1.236654e2,-7.219433e0
9.833333e0,1.276091e2,-7.376578e0
9.866667e0,1.300921e2,-7.496378e0
9.900000e0,1.321529e2,-7.736535e0
9.933333e0,1.336012e2,-7.870862e0
9.966667e0,1.344661e2,-7.895099e0
1.000000e1,1.349952e2,-7.950885e0
1.003333e1,1.351366e2,-7.966255e0
1.006667e1,1.354324e2,-7.947807e0
1.010000e1,1.354902e2,-7.966487e0
1.013333e1,1.355251e2,-7.977429e0
1.016667e1,1.355410e2,-7.984095e0
1.020000e1,1.355559e2,-7.991344e0
1.023333e1,1.355326e2,-7.984074e0
1.026667e1,1.349990e2,-7.672260e0
1.030000e1,1.340352e2,-6.655759e0
1.033333e1,1.331348e2,-6.163305e0
1.036667e1,1.326403e2,-6.308174e0
1.040000e1,1.321424e2,-6.184207e0
1.043333e1,1.318377e2,-6.163900e0
1.046667e1,1.316684e2,-6.170136e0
1.050000e1,1.315578e2,-6.157017e0
1.053333e1,1.312935e2,-6.142716e0
1.056667e1,1.311281e2,-6.174982e0
1.060000e1,1.309689e2,-6.173493e0
1.063333e1,1.307167e2,-6.188336e0
1.066667e1,1.305255e2,-6.156631e0
1.070000e1,1.302380e2,-6.251109e0
1.073333e1,1.316046e2,-6.668736e0
1.076667e1,1.345965e2,-7.492336e0
1.080000e1,1.380562e2,-7.971567e0
1.083333e1,1.420856e2,-8.387423e0
1.086667e1,1.450217e2,-8.518710e0
1.090000e1,1.474040e2,-8.715040e0
1.093333e1,1.490369e2,-8.846374e0
1.096667e1,1.500204e2,-8.928006e0
1.100000e1,1.508296e2,-8.912042e0
1.103333e1,1.510290e2,-8.963488e0
1.106667e1,1.513145e2,-8.933102e0
1.110000e1,1.513895e2,-8.945899e0
1.113333e1,1.514086e2,-8.952356e0
1.116667e1,1.514481e2,-8.958063e0
1.120000e1,1.514641e2,-8.961660e0
1.123333e1,1.514552e2,-8.960110e0
1.126667e1,1.510804e2,-8.909021e0
1.130000e1,1.504498e2,-8.083418e0
1.133333e1,1.495833e2,-7.428285e0
1.136667e1,1.490799e2,-7.592900e0
1.140000e1,1.485768e2,-7.443515e0
1.143333e1,1.484247e2,-7.430795e0
1.146667e1,1.480188e2,-7.433391e0
1.150000e1,1.478554e2,-7.365977e0
1.153333e1,1.474715e2,-7.401761e0
1.156667e1,1.470435e2,-7.383373e0
1.160000e1,1.467719e2,-7.377072e0
1.163333e1,1.464914e2,-7.361373e0
1.166667e1,1.460583e2,-7.406978e0
1.170000e1,1.455790e2,-7.420475e0
1.173333e1,1.454340e2,-7.441481e0
1.176667e1,1.484612e2,-8.425495e0
1.180000e1,1.514604e2,-8.934752e0
1.183333e1,1.554503e2,-9.125202e0
1.186667e1,1.588945e2,-9.403787e0
1.190000e1,1.612315e2,-9.591991e0
1.193333e1,1.632689e2,-9.809532e0
1.196667e1,1.643868e2,-9.889534e0
1.200000e1,1.652189e2,-9.924795e0
1.203333e1,1.656892e2,-9.953410e0
1.206667e1,1.657843e2,-9.960445e0
1.210000e1,1.658616e2,-9.980717e0
